epoch,loss,match,kl,ce,coord,disp,smooth,z_spacing,top1,top5,pmax,ent,inside_valid,cand_valid,inside_all,valid_inside_all,valid,pred_mag,gt_mag
1910,3.5736,0.0,0.0,0.0,2.9505,2.9505,3.295,1.921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.261,4.747
1911,3.3473,0.0,0.0,0.0,2.7635,2.7635,3.1123,1.8098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.325,4.747
1912,3.1319,0.0,0.0,0.0,2.5857,2.5857,2.9118,1.7957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.3,4.747
1913,2.9955,0.0,0.0,0.0,2.4732,2.4732,2.7659,1.7982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.29,4.747
1914,2.8448,0.0,0.0,0.0,2.3494,2.3494,2.5481,1.7898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.243,4.747
1915,2.7702,0.0,0.0,0.0,2.2878,2.2878,2.4773,1.7868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.254,4.747
1916,2.7347,0.0,0.0,0.0,2.2586,2.2586,2.4324,1.7809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.259,4.747
1917,2.7027,0.0,0.0,0.0,2.2321,2.2321,2.408,1.7768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.268,4.747
1918,2.6877,0.0,0.0,0.0,2.2198,2.2198,2.3956,1.7778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.284,4.747
1919,2.6705,0.0,0.0,0.0,2.2056,2.2056,2.3862,1.7768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.299,4.747
1920,2.6556,0.0,0.0,0.0,2.1932,2.1932,2.3775,1.7752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.309,4.747
1921,2.6421,0.0,0.0,0.0,2.182,2.182,2.3689,1.7739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.315,4.747
1922,2.6309,0.0,0.0,0.0,2.1728,2.1728,2.3637,1.7725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.322,4.747
1923,2.6214,0.0,0.0,0.0,2.1649,2.1649,2.3575,1.7729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.325,4.747
1924,2.6123,0.0,0.0,0.0,2.1574,2.1574,2.3505,1.7703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.324,4.747
1925,2.6044,0.0,0.0,0.0,2.1508,2.1508,2.3479,1.7695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.33,4.747
1926,2.5954,0.0,0.0,0.0,2.1433,2.1433,2.3433,1.7698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.334,4.747
1927,2.5906,0.0,0.0,0.0,2.1393,2.1393,2.3413,1.7677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.335,4.747
1928,2.5879,0.0,0.0,0.0,2.137,2.137,2.3414,1.7695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.343,4.747
1929,2.5752,0.0,0.0,0.0,2.1265,2.1265,2.3318,1.7639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.331,4.747
1930,2.5741,0.0,0.0,0.0,2.1256,2.1256,2.345,1.7683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.368,4.747
1931,2.5641,0.0,0.0,0.0,2.1173,2.1173,2.3281,1.7606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.333,4.747
1932,2.5604,0.0,0.0,0.0,2.1142,2.1142,2.3333,1.7671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.359,4.747
1933,2.552,0.0,0.0,0.0,2.1073,2.1073,2.3238,1.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.339,4.747
1934,2.5505,0.0,0.0,0.0,2.1061,2.1061,2.324,1.7636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.341,4.747
1935,2.5435,0.0,0.0,0.0,2.1003,2.1003,2.3199,1.7638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.34,4.747
1936,2.5402,0.0,0.0,0.0,2.0975,2.0975,2.3186,1.7629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.34,4.747
1937,2.5343,0.0,0.0,0.0,2.0926,2.0926,2.3189,1.7632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.345,4.747
1938,2.5402,0.0,0.0,0.0,2.0975,2.0975,2.3196,1.7641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.348,4.747
1939,2.5304,0.0,0.0,0.0,2.0893,2.0893,2.3212,1.7634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.356,4.747
1940,2.5273,0.0,0.0,0.0,2.0868,2.0868,2.3125,1.7587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.341,4.747
1941,2.5324,0.0,0.0,0.0,2.0909,2.0909,2.3312,1.7635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.385,4.747
1942,2.5253,0.0,0.0,0.0,2.0851,2.0851,2.322,1.7608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.37,4.747
1943,2.5232,0.0,0.0,0.0,2.0834,2.0834,2.3157,1.7585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.36,4.747
1944,2.5238,0.0,0.0,0.0,2.0838,2.0838,2.3217,1.7625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.377,4.747
1945,2.5181,0.0,0.0,0.0,2.079,2.079,2.3223,1.7633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.383,4.747
1946,2.5291,0.0,0.0,0.0,2.0881,2.0881,2.3381,1.7636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.42,4.747
1947,2.5156,0.0,0.0,0.0,2.077,2.077,2.327,1.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.391,4.747
1948,2.5185,0.0,0.0,0.0,2.0794,2.0794,2.3302,1.7659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.402,4.747
1949,2.517,0.0,0.0,0.0,2.0781,2.0781,2.3313,1.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.405,4.747
1950,2.512,0.0,0.0,0.0,2.0739,2.0739,2.3281,1.7641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.399,4.747
1951,2.5051,0.0,0.0,0.0,2.0683,2.0683,2.3179,1.7591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.377,4.747
1952,2.511,0.0,0.0,0.0,2.073,2.073,2.3291,1.7623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.403,4.747
1953,2.5047,0.0,0.0,0.0,2.0678,2.0678,2.3233,1.7613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.393,4.747
1954,2.5114,0.0,0.0,0.0,2.0734,2.0734,2.3345,1.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.418,4.747
1955,2.507,0.0,0.0,0.0,2.0697,2.0697,2.3376,1.7639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.426,4.747
1956,2.5045,0.0,0.0,0.0,2.0676,2.0676,2.3356,1.7643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.42,4.747
1957,2.5034,0.0,0.0,0.0,2.0667,2.0667,2.3379,1.7635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.425,4.747
1958,2.4997,0.0,0.0,0.0,2.0636,2.0636,2.335,1.7633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.419,4.747
1959,2.4981,0.0,0.0,0.0,2.0623,2.0623,2.3357,1.7626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.421,4.747
1960,2.4946,0.0,0.0,0.0,2.0594,2.0594,2.3258,1.7591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.4,4.747
1961,2.4892,0.0,0.0,0.0,2.055,2.055,2.3155,1.7599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.38,4.747
1962,2.4925,0.0,0.0,0.0,2.0576,2.0576,2.3362,1.7604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.423,4.747
1963,2.4902,0.0,0.0,0.0,2.0558,2.0558,2.3249,1.7601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.399,4.747
1964,2.4858,0.0,0.0,0.0,2.0522,2.0522,2.3166,1.7583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.384,4.747
1965,2.4884,0.0,0.0,0.0,2.0542,2.0542,2.3354,1.7608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.424,4.747
1966,2.4862,0.0,0.0,0.0,2.0525,2.0525,2.3268,1.7595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.405,4.747
1967,2.4833,0.0,0.0,0.0,2.0501,2.0501,2.3203,1.7581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.393,4.747
1968,2.4838,0.0,0.0,0.0,2.0505,2.0505,2.3279,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.407,4.747
1969,2.4809,0.0,0.0,0.0,2.048,2.048,2.3215,1.7582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.396,4.747
1970,2.4835,0.0,0.0,0.0,2.0501,2.0501,2.3381,1.7631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.429,4.747
1971,2.4788,0.0,0.0,0.0,2.0464,2.0464,2.3197,1.7581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.394,4.747
1972,2.4776,0.0,0.0,0.0,2.0453,2.0453,2.3211,1.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.396,4.747
1973,2.4794,0.0,0.0,0.0,2.0467,2.0467,2.3438,1.7626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.441,4.747
1974,2.4773,0.0,0.0,0.0,2.0451,2.0451,2.3265,1.7576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.407,4.747
1975,2.4733,0.0,0.0,0.0,2.0417,2.0417,2.3173,1.7579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.391,4.747
1976,2.4709,0.0,0.0,0.0,2.0396,2.0396,2.3441,1.7597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.446,4.747
1977,2.4714,0.0,0.0,0.0,2.0402,2.0402,2.3195,1.7588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.395,4.747
1978,2.4693,0.0,0.0,0.0,2.0382,2.0382,2.3431,1.7604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.446,4.747
1979,2.4694,0.0,0.0,0.0,2.0385,2.0385,2.3169,1.7572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.392,4.747
1980,2.4658,0.0,0.0,0.0,2.0353,2.0353,2.3428,1.7599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.447,4.747
1981,2.4673,0.0,0.0,0.0,2.0368,2.0368,2.3175,1.7585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.394,4.747
1982,2.4649,0.0,0.0,0.0,2.0346,2.0346,2.3436,1.7611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.448,4.747
1983,2.465,0.0,0.0,0.0,2.0348,2.0348,2.3163,1.7568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.393,4.747
1984,2.4616,0.0,0.0,0.0,2.0318,2.0318,2.3442,1.7598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.449,4.747
1985,2.4625,0.0,0.0,0.0,2.0328,2.0328,2.3139,1.7567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.389,4.747
1986,2.461,0.0,0.0,0.0,2.0313,2.0313,2.3446,1.7613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.451,4.747
1987,2.46,0.0,0.0,0.0,2.0308,2.0308,2.3119,1.7562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.386,4.747
1988,2.4561,0.0,0.0,0.0,2.0272,2.0272,2.3428,1.7601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.448,4.747
1989,2.4594,0.0,0.0,0.0,2.0302,2.0302,2.3202,1.7581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.401,4.747
1990,2.457,0.0,0.0,0.0,2.028,2.028,2.3455,1.7611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.452,4.747
1991,2.4566,0.0,0.0,0.0,2.0279,2.0279,2.311,1.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.385,4.747
1992,2.4521,0.0,0.0,0.0,2.0239,2.0239,2.342,1.7591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.447,4.747
1993,2.4574,0.0,0.0,0.0,2.0284,2.0284,2.324,1.7565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.409,4.747
1994,2.4555,0.0,0.0,0.0,2.0269,2.0269,2.3226,1.7583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.405,4.747
1995,2.4526,0.0,0.0,0.0,2.0243,2.0243,2.3454,1.7603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.451,4.747
1996,2.4547,0.0,0.0,0.0,2.0261,2.0261,2.334,1.759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.427,4.747
1997,2.454,0.0,0.0,0.0,2.0256,2.0256,2.3272,1.7576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.413,4.747
1998,2.4489,0.0,0.0,0.0,2.0212,2.0212,2.3469,1.7613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.455,4.747
1999,2.4493,0.0,0.0,0.0,2.0216,2.0216,2.3417,1.7603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.445,4.747
2000,2.4507,0.0,0.0,0.0,2.0227,2.0227,2.3458,1.7622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.451,4.747
2001,2.4483,0.0,0.0,0.0,2.0207,2.0207,2.3489,1.7613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.458,4.747
2002,2.4469,0.0,0.0,0.0,2.0195,2.0195,2.3467,1.7607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.455,4.747
2003,2.446,0.0,0.0,0.0,2.0188,2.0188,2.3459,1.7604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.457,4.747
2004,2.4459,0.0,0.0,0.0,2.0187,2.0187,2.3478,1.7612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.454,4.747
2005,2.4437,0.0,0.0,0.0,2.0169,2.0169,2.3461,1.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.457,4.747
2006,2.444,0.0,0.0,0.0,2.0171,2.0171,2.3455,1.7611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.452,4.747
2007,2.4463,0.0,0.0,0.0,2.0191,2.0191,2.3423,1.7611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.449,4.747
2008,2.4445,0.0,0.0,0.0,2.0175,2.0175,2.3412,1.7621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.447,4.747
2009,2.4415,0.0,0.0,0.0,2.0151,2.0151,2.3407,1.7615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.445,4.747
2010,2.442,0.0,0.0,0.0,2.0155,2.0155,2.3404,1.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.444,4.747
2011,2.4417,0.0,0.0,0.0,2.0153,2.0153,2.339,1.7611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.442,4.747
2012,2.4458,0.0,0.0,0.0,2.0187,2.0187,2.3373,1.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,4.44,4.747
