epoch,loss,match,kl,ce,coord,disp,smooth,z_spacing,top1,top5,pmax,ent,inside_valid,cand_valid,inside_all,valid_inside_all,valid,pred_mag,gt_mag
393,1.9608,1.1037,0.575,1.2359,1.4604,1.4604,1.5193,1.6256,0.716,0.963,0.402,1.909,1.0,0.802,0.998,0.568,0.568,2.235,2.581
394,1.9591,1.1059,0.5884,1.2353,1.454,1.454,1.5173,1.6225,0.714,0.962,0.404,1.893,1.0,0.802,0.998,0.568,0.568,2.24,2.581
395,1.9571,1.1068,0.5928,1.2353,1.4498,1.4498,1.5148,1.6237,0.715,0.962,0.404,1.889,1.0,0.802,0.998,0.568,0.568,2.241,2.581
396,1.9568,1.1075,0.5971,1.2351,1.4484,1.4484,1.5154,1.6243,0.715,0.962,0.404,1.885,1.0,0.802,0.998,0.568,0.568,2.243,2.581
397,1.9556,1.1074,0.5999,1.2343,1.4467,1.4467,1.514,1.6244,0.714,0.962,0.405,1.882,1.0,0.802,0.998,0.568,0.568,2.244,2.581
398,1.9559,1.1086,0.6024,1.2352,1.4454,1.4454,1.5137,1.624,0.715,0.961,0.405,1.88,1.0,0.802,0.998,0.568,0.568,2.247,2.581
399,1.9555,1.1088,0.6026,1.2353,1.4444,1.4444,1.5149,1.6241,0.714,0.962,0.405,1.879,1.0,0.802,0.998,0.568,0.568,2.247,2.581
400,1.955,1.1087,0.6043,1.2348,1.4439,1.4439,1.5144,1.6238,0.714,0.962,0.405,1.877,1.0,0.802,0.998,0.568,0.568,2.249,2.581
401,1.9542,1.1084,0.6044,1.2343,1.443,1.443,1.5142,1.6239,0.714,0.962,0.405,1.876,1.0,0.802,0.998,0.568,0.568,2.25,2.581
402,1.9523,1.1075,0.6046,1.2332,1.4414,1.4414,1.5123,1.624,0.715,0.962,0.405,1.875,1.0,0.802,0.998,0.568,0.568,2.249,2.581
403,1.9513,1.1081,0.6053,1.2339,1.4389,1.4389,1.512,1.6241,0.715,0.962,0.405,1.875,1.0,0.802,0.998,0.568,0.568,2.252,2.581
404,1.9505,1.1081,0.6062,1.2336,1.4378,1.4378,1.5122,1.624,0.715,0.962,0.405,1.873,1.0,0.802,0.998,0.568,0.568,2.255,2.581
405,1.9495,1.1082,0.6066,1.2335,1.4362,1.4362,1.5114,1.6238,0.715,0.962,0.405,1.873,1.0,0.802,0.998,0.568,0.568,2.258,2.581
406,1.9491,1.1073,0.6065,1.2325,1.4369,1.4369,1.5112,1.6245,0.715,0.963,0.406,1.872,1.0,0.802,0.998,0.568,0.568,2.254,2.581
407,1.9456,1.1074,0.6066,1.2326,1.4318,1.4318,1.5116,1.6259,0.717,0.962,0.405,1.873,1.0,0.802,0.998,0.568,0.568,2.263,2.581
408,1.9459,1.1074,0.607,1.2325,1.4317,1.4317,1.5096,1.6241,0.717,0.962,0.405,1.871,1.0,0.802,0.998,0.568,0.568,2.261,2.581
409,1.9438,1.1064,0.6065,1.2314,1.4299,1.4299,1.5076,1.6241,0.718,0.962,0.405,1.871,1.0,0.802,0.998,0.568,0.568,2.26,2.581
410,1.9435,1.1062,0.6075,1.2309,1.4298,1.4298,1.5066,1.6244,0.718,0.962,0.406,1.869,1.0,0.802,0.998,0.568,0.568,2.259,2.581
411,1.945,1.1072,0.6075,1.2321,1.4305,1.4305,1.5053,1.6234,0.717,0.962,0.406,1.87,1.0,0.802,0.998,0.568,0.568,2.257,2.581
412,1.9513,1.1119,0.6092,1.2375,1.4333,1.4333,1.5148,1.6237,0.715,0.962,0.405,1.871,1.0,0.802,0.998,0.568,0.568,2.263,2.581
413,1.9477,1.1071,0.6072,1.232,1.4344,1.4344,1.5041,1.624,0.716,0.963,0.406,1.868,1.0,0.802,0.998,0.568,0.568,2.245,2.581
414,1.9494,1.1102,0.6091,1.2355,1.4325,1.4325,1.5075,1.6236,0.716,0.962,0.406,1.869,1.0,0.802,0.998,0.568,0.568,2.253,2.581
415,1.9467,1.1075,0.607,1.2326,1.4322,1.4322,1.5044,1.6243,0.716,0.962,0.406,1.87,1.0,0.802,0.998,0.568,0.568,2.247,2.581
416,1.942,1.1061,0.6073,1.2308,1.427,1.427,1.5038,1.6232,0.717,0.962,0.406,1.867,1.0,0.802,0.998,0.568,0.568,2.255,2.581
417,1.9391,1.1059,0.6069,1.2307,1.4234,1.4234,1.5047,1.624,0.719,0.962,0.405,1.868,1.0,0.802,0.998,0.568,0.568,2.264,2.581
418,1.9393,1.1062,0.6074,1.231,1.4231,1.4231,1.5032,1.6227,0.718,0.962,0.406,1.867,1.0,0.802,0.998,0.568,0.568,2.264,2.581
419,1.9386,1.106,0.608,1.2305,1.4224,1.4224,1.5023,1.623,0.718,0.962,0.406,1.866,1.0,0.802,0.998,0.568,0.568,2.265,2.581
420,1.9394,1.1065,0.6083,1.231,1.4228,1.4228,1.5015,1.6222,0.717,0.963,0.406,1.866,1.0,0.802,0.998,0.568,0.568,2.263,2.581
421,1.9457,1.1098,0.6106,1.2346,1.4277,1.4277,1.5097,1.624,0.717,0.962,0.406,1.866,1.0,0.802,0.998,0.568,0.568,2.265,2.581
422,1.9447,1.1077,0.6091,1.2324,1.4288,1.4288,1.5025,1.6237,0.717,0.963,0.407,1.865,1.0,0.802,0.998,0.568,0.568,2.251,2.581
423,1.9445,1.1079,0.6099,1.2324,1.4283,1.4283,1.5041,1.6239,0.718,0.963,0.407,1.864,1.0,0.802,0.998,0.568,0.568,2.252,2.581
424,1.9442,1.108,0.6098,1.2325,1.4277,1.4277,1.5042,1.6235,0.718,0.963,0.407,1.864,1.0,0.802,0.998,0.568,0.568,2.253,2.581
425,1.941,1.1071,0.6095,1.2315,1.424,1.424,1.5053,1.6239,0.718,0.963,0.407,1.864,1.0,0.802,0.998,0.568,0.568,2.259,2.581
426,1.939,1.1059,0.6094,1.23,1.4227,1.4227,1.502,1.6232,0.717,0.963,0.407,1.863,1.0,0.802,0.998,0.568,0.568,2.258,2.581
427,1.9442,1.1099,0.6121,1.2344,1.4252,1.4252,1.5101,1.6246,0.717,0.962,0.406,1.865,1.0,0.802,0.998,0.568,0.568,2.267,2.581
428,1.9363,1.1043,0.6086,1.2282,1.421,1.421,1.5011,1.6245,0.718,0.963,0.407,1.862,1.0,0.802,0.998,0.568,0.568,2.257,2.581
429,1.9455,1.1128,0.6139,1.2376,1.4238,1.4238,1.5157,1.6282,0.715,0.962,0.405,1.868,1.0,0.802,0.998,0.568,0.568,2.28,2.581
430,1.9384,1.1049,0.6097,1.2287,1.4235,1.4235,1.5001,1.6245,0.718,0.963,0.407,1.862,1.0,0.802,0.998,0.568,0.568,2.253,2.581
431,1.9328,1.1041,0.6086,1.228,1.4163,1.4163,1.5021,1.6251,0.72,0.963,0.406,1.863,1.0,0.802,0.998,0.568,0.568,2.268,2.581
432,1.9434,1.1118,0.6133,1.2364,1.4216,1.4216,1.5126,1.6276,0.715,0.962,0.405,1.867,1.0,0.802,0.998,0.568,0.568,2.275,2.581
433,1.9396,1.107,0.6107,1.2311,1.4221,1.4221,1.5015,1.6236,0.719,0.963,0.407,1.86,1.0,0.802,0.998,0.568,0.568,2.257,2.581
434,1.9398,1.1079,0.6126,1.2317,1.4211,1.4211,1.5065,1.6244,0.718,0.963,0.407,1.86,1.0,0.802,0.998,0.568,0.568,2.264,2.581
435,1.9312,1.1037,0.6096,1.2273,1.4138,1.4138,1.4995,1.6235,0.719,0.962,0.407,1.86,1.0,0.802,0.998,0.568,0.568,2.266,2.581
436,1.9342,1.1066,0.6106,1.2306,1.4149,1.4149,1.5065,1.6255,0.718,0.963,0.406,1.864,1.0,0.802,0.998,0.568,0.568,2.277,2.581
437,1.9312,1.1044,0.6106,1.2278,1.4131,1.4131,1.5012,1.6239,0.719,0.963,0.407,1.86,1.0,0.802,0.998,0.568,0.568,2.272,2.581
438,1.933,1.1058,0.6112,1.2295,1.4141,1.4141,1.5046,1.6252,0.718,0.963,0.406,1.862,1.0,0.802,0.998,0.568,0.568,2.275,2.581
439,1.9286,1.1032,0.6094,1.2267,1.4106,1.4106,1.4987,1.6226,0.719,0.963,0.407,1.859,1.0,0.802,0.998,0.568,0.568,2.271,2.581
440,1.9305,1.105,0.6093,1.2289,1.4115,1.4115,1.5024,1.6231,0.719,0.963,0.406,1.861,1.0,0.802,0.998,0.568,0.568,2.277,2.581
441,1.9304,1.1044,0.6097,1.2281,1.4117,1.4117,1.4995,1.6229,0.72,0.963,0.407,1.86,1.0,0.802,0.998,0.568,0.568,2.271,2.581
442,1.926,1.1023,0.6093,1.2255,1.4082,1.4082,1.4967,1.6223,0.721,0.963,0.407,1.856,1.0,0.802,0.998,0.568,0.568,2.274,2.581
443,1.9266,1.1023,0.6091,1.2257,1.4092,1.4092,1.4981,1.6225,0.721,0.963,0.407,1.858,1.0,0.802,0.998,0.568,0.568,2.274,2.581
444,1.9277,1.1034,0.6089,1.227,1.4095,1.4095,1.5013,1.6234,0.72,0.963,0.406,1.859,1.0,0.802,0.998,0.568,0.568,2.277,2.581
445,1.929,1.1043,0.6108,1.2276,1.4102,1.4102,1.5011,1.6243,0.718,0.963,0.407,1.859,1.0,0.802,0.998,0.568,0.568,2.275,2.581
446,1.9242,1.1019,0.6099,1.2249,1.4061,1.4061,1.4962,1.6224,0.721,0.963,0.408,1.855,1.0,0.802,0.998,0.568,0.568,2.277,2.581
447,1.9245,1.1021,0.6103,1.2251,1.4064,1.4064,1.4982,1.6232,0.722,0.963,0.408,1.855,1.0,0.802,0.998,0.568,0.568,2.279,2.581
448,1.924,1.1023,0.6096,1.2255,1.4055,1.4055,1.4987,1.623,0.722,0.963,0.407,1.856,1.0,0.802,0.998,0.568,0.568,2.281,2.581
449,1.924,1.1019,0.6095,1.225,1.4059,1.4059,1.4997,1.6234,0.72,0.963,0.407,1.857,1.0,0.802,0.998,0.568,0.568,2.28,2.581
450,1.927,1.1043,0.6108,1.2277,1.4071,1.4071,1.5024,1.6246,0.719,0.963,0.406,1.859,1.0,0.802,0.998,0.568,0.568,2.282,2.581
451,1.9231,1.102,0.6103,1.225,1.4044,1.4044,1.4989,1.6235,0.722,0.963,0.407,1.855,1.0,0.802,0.998,0.568,0.568,2.283,2.581
452,1.9228,1.1019,0.611,1.2247,1.4042,1.4042,1.4988,1.6237,0.722,0.963,0.408,1.854,1.0,0.802,0.998,0.568,0.568,2.283,2.581
453,1.924,1.1026,0.611,1.2255,1.4051,1.4051,1.5006,1.6239,0.721,0.963,0.407,1.855,1.0,0.802,0.998,0.568,0.568,2.284,2.581
454,1.9284,1.1046,0.6121,1.2277,1.4082,1.4082,1.4998,1.6236,0.719,0.964,0.408,1.855,1.0,0.802,0.998,0.568,0.568,2.272,2.581
455,1.9261,1.1038,0.6092,1.2274,1.4055,1.4055,1.4948,1.6215,0.722,0.963,0.408,1.855,1.0,0.802,0.998,0.568,0.568,2.268,2.581
456,1.9264,1.1024,0.6112,1.2253,1.4081,1.4081,1.497,1.6219,0.722,0.963,0.409,1.851,1.0,0.802,0.998,0.568,0.568,2.267,2.581
457,1.9255,1.1025,0.6116,1.2253,1.4066,1.4066,1.4981,1.6225,0.721,0.963,0.409,1.851,1.0,0.802,0.998,0.568,0.568,2.27,2.581
458,1.9259,1.1046,0.6124,1.2277,1.4043,1.4043,1.5,1.624,0.719,0.963,0.407,1.855,1.0,0.802,0.998,0.568,0.568,2.277,2.581
459,1.9318,1.1063,0.6153,1.229,1.4112,1.4112,1.5034,1.623,0.719,0.963,0.409,1.851,1.0,0.802,0.998,0.568,0.568,2.274,2.581
460,1.9235,1.1006,0.61,1.2233,1.4061,1.4061,1.4902,1.6222,0.723,0.964,0.409,1.851,1.0,0.802,0.998,0.568,0.568,2.26,2.581
461,1.927,1.1042,0.6135,1.2269,1.4065,1.4065,1.4994,1.6234,0.719,0.963,0.409,1.852,1.0,0.802,0.998,0.568,0.568,2.271,2.581
462,1.9257,1.1045,0.6134,1.2272,1.4043,1.4043,1.501,1.6236,0.72,0.963,0.408,1.852,1.0,0.802,0.998,0.568,0.568,2.278,2.581
463,1.9276,1.1055,0.6146,1.2282,1.4061,1.4061,1.5035,1.6247,0.72,0.963,0.408,1.853,1.0,0.802,0.998,0.568,0.568,2.28,2.581
464,1.9164,1.0987,0.6106,1.2208,1.3983,1.3983,1.4926,1.6223,0.723,0.964,0.409,1.85,1.0,0.802,0.998,0.568,0.568,2.277,2.581
465,1.9196,1.1015,0.6111,1.224,1.3996,1.3996,1.4983,1.6233,0.721,0.964,0.408,1.852,1.0,0.802,0.998,0.568,0.568,2.284,2.581
466,1.925,1.1053,0.6142,1.2281,1.4029,1.4029,1.5062,1.6279,0.72,0.963,0.406,1.857,1.0,0.802,0.998,0.568,0.568,2.291,2.581
467,1.9251,1.1037,0.6135,1.2262,1.4046,1.4046,1.4982,1.6233,0.721,0.963,0.409,1.85,1.0,0.802,0.998,0.568,0.568,2.274,2.581
468,1.9216,1.1015,0.6096,1.2245,1.4023,1.4023,1.4941,1.6225,0.723,0.963,0.408,1.852,1.0,0.802,0.998,0.568,0.568,2.271,2.581
469,1.9224,1.1022,0.6111,1.225,1.4024,1.4024,1.4954,1.6232,0.723,0.963,0.408,1.852,1.0,0.802,0.998,0.568,0.568,2.272,2.581
470,1.9231,1.1028,0.612,1.2255,1.4028,1.4028,1.497,1.6237,0.723,0.964,0.408,1.852,1.0,0.802,0.998,0.568,0.568,2.273,2.581
471,1.9226,1.1029,0.612,1.2256,1.4019,1.4019,1.4983,1.6239,0.722,0.963,0.408,1.852,1.0,0.802,0.998,0.568,0.568,2.275,2.581
472,1.9142,1.0976,0.6115,1.2192,1.3964,1.3964,1.4906,1.6225,0.723,0.964,0.41,1.847,1.0,0.802,0.998,0.568,0.568,2.276,2.581
473,1.9209,1.1034,0.6114,1.2264,1.3989,1.3989,1.5026,1.6249,0.721,0.963,0.407,1.853,1.0,0.802,0.998,0.568,0.568,2.285,2.581
474,1.9129,1.0972,0.6111,1.2187,1.3954,1.3954,1.4929,1.6234,0.724,0.964,0.409,1.847,1.0,0.802,0.998,0.568,0.568,2.28,2.581
475,1.9122,1.0981,0.6109,1.2199,1.393,1.393,1.4928,1.6232,0.724,0.964,0.409,1.848,1.0,0.802,0.998,0.568,0.568,2.284,2.581
476,1.9122,1.098,0.6103,1.22,1.3933,1.3933,1.4948,1.6241,0.724,0.964,0.408,1.849,1.0,0.802,0.998,0.568,0.568,2.285,2.581
477,1.9123,1.0983,0.6101,1.2203,1.3931,1.3931,1.4972,1.6251,0.724,0.964,0.408,1.851,1.0,0.802,0.998,0.568,0.568,2.287,2.581
478,1.9132,1.0992,0.6105,1.2214,1.3931,1.3931,1.4976,1.6249,0.722,0.964,0.408,1.851,1.0,0.802,0.998,0.568,0.568,2.287,2.581
479,1.9166,1.1016,0.6124,1.2238,1.3948,1.3948,1.5001,1.6259,0.723,0.964,0.407,1.852,1.0,0.802,0.998,0.568,0.568,2.288,2.581
480,1.912,1.0977,0.6122,1.2191,1.3932,1.3932,1.4947,1.6241,0.723,0.964,0.409,1.847,1.0,0.802,0.998,0.568,0.568,2.285,2.581
481,1.9099,1.0991,0.6095,1.2215,1.3881,1.3881,1.4961,1.6231,0.724,0.964,0.408,1.85,1.0,0.802,0.998,0.568,0.568,2.296,2.581
482,1.9099,1.098,0.611,1.2197,1.3899,1.3899,1.4951,1.6233,0.724,0.964,0.409,1.846,1.0,0.802,0.998,0.568,0.568,2.292,2.581
483,1.9088,1.096,0.6108,1.2173,1.391,1.391,1.4949,1.624,0.725,0.964,0.409,1.846,1.0,0.802,0.998,0.568,0.568,2.287,2.581
